ref,date,time,boat_status,attack_status,ship_name,type,flag,grt,imo_number,latitude,longitude,position,waters,narration,region,success
19,12.10.2019,10,anchored,boarded,Anshun,bulk carrier,Panama,24332,9851347,18:33.9N ,072:23.2W ,Port Au Prince Anchorage,Haiti,"During routine rounds, duty AB onboard an anchored ship was taken hostage by robbers armed with guns and long knives. Alarm raised and crew mustered. Seeing the alerted crew, the robbers escaped with stolen ship’s properties. Incident reported to Pilot Station. ",Americas,actual
20,12.10.2019,730,anchored,boarded,NA,product tanker,Denmark,30024,NA,11:59.6S ,077:11.1W ,Callao Anchorage,Peru,"Duty watchmen onboard an anchored tanker noticed three unauthorised persons on the forecastle deck and raised the alarm. The OOW, sounded the forward horn, raised the alarm, made an announcement on the PA and crew mustered. Seeing the alerted crew, the persons escaped in their boat. Further investigations indicated that the perpetrators opened the bosun store skylight but were unable to steal anything. ",Americas,actual
21,21.11.2019,850,anchored,boarded,Ocean Mercury,bulk carrier,Panama,22662,9616735,12:01.70S ,077:12.62W ,Callao Anchorage,Peru,"Crew on routine rounds onboard an anchored ship noticed three robbers armed with long knives at forecastle deck and raised the alarm. Crew mustered. A small boat was seen departing the ship. Upon checking, the bosun store and paint store were reported broken into and ship’s stores stolen. ",Americas,actual
22,23.11.2019,1020,anchored,boarded,Galveston Highway,vehicle carrier,Panama,59525,9675573,12:01.8S ,077:11.7W ,Callao Anchorage,Peru,Duty crew onboard an anchored ship noticed the forecastle store entrance door and forward booby hatch cover opened. On investigating three mooring ropes were reported missing. Incident reported to Callao Port Authority. ,Americas,actual
23,03.12.2019,715,anchored,boarded,Cano,bulk carrier,Malta,24086,9662332,12:01.4S ,077:13.3W ,Callao Anchorage,Peru,"Two watchkeepers onboard an anchored ship on routine rounds noticed movement on the forecastle deck and notified the duty officer. Verifying the movement from the bridge, the duty officer reported one robber armed with a long knife and another throwing a mooring rope overboard. Alarm raised, ship’s whistle sounded, and crew made their way forward. By the time the crew reached the forecastle deck they saw one boat moving away with the stolen mooring rope. Incident reported to VTS. ",Americas,actual
24,07.12.2019,610,anchored,boarded,Lunita,bulk carrier,Norway,32402,9685621,12:01.42S ,077:13.75W ,Callao Anchorage,Peru,"Three robbers boarded an anchored ship via the anchor chain and hawse pipe. They tied up the duty OS, took his radio, wristwatch and flashlight and entered the forecastle store. The duty OS managed to escape and raised the alarm resulting in the crew mustering. Hearing the alarm, the robbers escaped in a waiting motorboat. Upon investigation, ship’s properties were reported stolen. Incident reported to TRAMAR Port Control.",Americas,actual
1,02.01.2019,1,steaming,boarded,MSC Mandy,container,Panama,37071,8918966,05:28N,002:21E,"Around 55nm South
of Cotonou,",Benin,"Armed pirates attack and boarded the ship
underway. Six crew members reported
kidnapped. The remaining crew sailed the
ship to a safe port. Owners confirmed all
kidnapped crew released safely on
01.02.2019.",Africa,actual
2,03.01.2019,2325,anchored,boarded,FSL Singapore,product tanker,Singapore,28068,9311724,06:17.8N,06:17.8N,"Lagos Security
Anchorage Area",Nigeria,"Two unauthorised persons boarded the
tanker during STS operations. The security
guard noticed the robber and raised the
alarm resulting in the persons escaping.
Nothing was stolen.",Africa,actual
3,07.01.2019,320,anchored,boarded,Two Million Ways,tanker,Cyprus,40865,9334571,06:16.3N,003:20.1E,"Lagos STS
Anchorage",Nigeria,"Two robbers with plastic hoses boarded an
anchored tanker during STS operations.
They connected the hoses to the ullage
ports of the forward cargo tanks and
attempted to steal cargo. Duty crew noticed
the robbers and raised the alarm resulting
in the robbers escaping. The incident was
immediately reported to the Nigerian Navy
patrol boat who came to the location and
carried out a check on the surrounding
waters. Nothing reported stolen.",Africa,actual
4,19.01.2019,2240,anchored,boarded,Nord Valorous,product tanker,Liberia,29557,9827059,05:12.4N,004:02.8W,Abidjan Anchorage,Ivory Coast,"Two robbers armed with long knives
boarded an anchored tanker. Duty OS on
routine rounds noticed a ladder hooked to
the ship’s rail and two robbers near the
poop deck winch. OOW notified and alarm
raised. Master directed the searchlight
towards the poop deck resulting in the
robbers escaping with stolen ship’s stores.",Africa,actual
5,03.02.2019,530,steaming,boarded,Name Withheld,landing craft,Marshall Islands,1409,NA,02:32.6N,004:47.3E,"Around 136nm SW
of Brass",Nigeria,"Five armed pirates attacked and boarded
the ship underway, kidnapped three crew
members and escaped. Incident reported to
the Nigerian Navy who dispatched a naval
boat to assist the vessel. Remaining crew
sailed the vessel under naval escort to a safe
anchorage. On 01.03.2019, Owners
confirmed the kidnapped crew were
released safely.",Africa,actual
6,09.02.2019,340,berthed,boarded,Histria Ivory,product tanker,Malta,25804,9356244,06:21.1N,010:47.8W,Port of Monrovia,Liberia,"Duty crew on routine rounds onboard the
berthed tanker noticed a robber armed with
a knife. Alarm sounded, resulting in the
robber escaping. On searching the tanker,
ship’s stores were reported stolen. Incident
reported to local agent and port control.",Africa,actual
7,23.02.2019,400,anchored,boarded,Anna,general cargo,Antigua and Barbuda,11473,9501887,04:54.6N,001:40.2W,"Takoradi
Anchorage",Ghana,"Unnoticed, robbers boarded an anchored
ship. They stole ship’s stores and escaped.
Incident reported to local Authorities.",Africa,actual
8,27.02.2019,500,anchored,boarded,Maersk Jamnagar,tanker,Singapore,56326,9524982,04:56.4N,001:34.3W,"Aboadze
Anchorage",Ghana,"Unnoticed, robbers boarded an anchored
tanker. They stole ship’s stores and
escaped. Incident reported to local
Authorities.",Africa,actual
9,02.03.2019,1233,steaming,boarded,Cap Theodora,tanker,Greece,81324,9380740,04:38.0N,003:14.1E,"Around 105nm
South of Lagos",Nigeria,"Armed pirates in a speed boat approached
and boarded the tanker underway. Alarm
raised, and all crew mustered in the citadel.
Upon receiving information on the
incident, the IMB PRC immediately
informed the Nigerian Authorities. A naval
patrol boat was dispatched to assist the
tanker. The IMB PRC continued to liaise
with the Authorities and the Owners until
the naval team boarded the tanker and
confirmed all crew safe. The tanker later
resumed her intended passage to the next
port.",Africa,actual
10,03.03.2019,1940,steaming,boarded,Histria Ivory,product tanker,Malta,25804,9356244,05:52N,001:24E,"Around 17nm SSE
of Lome",Togo,"Armed pirates attack and boarded the
tanker underway. Alarm raised, and crews
mustered in the citadel. On taking the
headcount, four crews were identified as
missing. Upon receiving a MAYDAY
message from the Master, the IMB PRC
immediately informed the Togo
Authorities. A naval patrol boat was
dispatched to assist the tanker. The IMB
PRC continued to liaise with the
Authorities and the Owners until the naval
patrol boat arrived at the location of the
tanker and the crews emerged from the
citadel. On searching the tanker one crew
was found hiding in a compartment. The
tanker was escorted to Lome anchorage for
further investigations. Three crews remain
missing. On 11 Apr 2019, the Owners
confirmed that the three kidnapped crew
members were released safely.",Africa,actual
11,09.03.2019,1115,steaming,boarded,E. Francis,offshore support,Nigeria,2645,7408897,03:57.2N,006:39.0E,"Around 32nm SE of
Brass",Nigeria,"Pirates armed with machine guns in two
speed boats approached an offshore
support vessel underway. The Captain
immediately notified the naval escort
security boat which manoeuvred to engage
the attackers. One speed boat closed in
from port side of the vessel and crossed the
bow, while the other speed boat exchanged
fire with the security boat. Alarm raised,
crew proceeded to the engine room and all
power was shut down. The pirates boarded
the vessel with the aid of an elongated
ladder. They broke into the
accommodation, vandalized the cabins and
took crew belongings and vessel’s
properties. The pirates then proceeded to the engine room, kidnapped five men and
escaped. The remaining crews sailed the
vessel under escort to a safe anchorage.
One Nigerian Navy armed guard reported
killed in the exchange of fire between the
naval security boat and the pirates. On 12
Dec 2019, the Owners confirmed that the
five kidnapped crew members were
released safely on June 2019.",Africa,actual
12,24.03.2019,2235,anchored,boarded,Nord Steady,product tanker,Singapore,29983,9629706,06:15.2N,003:12.3E,"Lagos Secure
Anchorage Area",Nigeria,"Two robbers managed to board an
anchored tanker and started stealing the oil
cargo using a hose pipe. Duty watch keeper
noticed the hose and immediately informed
Master. Incident reported to a Navy patrol
boat in the vicinity. Seeing the alerted
crew, the robbers escaped. All crew and the
tanker are safe. It was reported that the
Navy patrol boat managed to intercept the
boat and apprehend the robbers.",Africa,actual
13,29.03.2019,236,anchored,boarded,Anuket Pearl,product tanker,Malta,5581,9395886,04:52.86N,001:41.42W,"Takoradi
Anchorage",Ghana,"OOW onboard an anchored tanker noticed
the paint room door was opened and
spotted the robbers in the forecastle. The
OOW immediately directed search lights
towards the robbers and ship’s horn
sounded. Seeing the alerted crew, the
robbers escaped with stolen ship’s stores.
Takoradi Port Control was informed.
Takoradi Marine Police personnel boarded
the tanker for investigation.",Africa,actual
14,30.03.2019,310,anchored,boarded,Nord Steady,product tanker,Singapore,29983,9629706,06:18.9N,003:17.4E,"Lagos STS
Anchorage",Nigeria,"Duty watchkeeper onboard an anchored
tanker noticed some robbers near a cargo
tank and near the ship’s rails. Alarm raised.
Seeing the alerted crew, the robbers
escaped without stealing anything.
Nigerian Navy patrol boat notified and a
search in the waters around the tanker was
carried out.",Africa,actual
15,30.03.2019,2130,anchored,boarded,Contship Oak,container,Liberia,9957,9373917,03:53N,009:30E,"Around 15nm SW
of Douala",Cameroon,"Armed persons boarded an anchored ship.
They kidnapped four crew members and
escaped. The remaining crew sailed the
ship to Douala port. The owners confirmed
that the four kidnapped crew were released
on 06 May 2019 and repatriated to their
respective countries.",Africa,actual
16,01.04.2019,600,berthed,boarded,Silver Lake,bulk carrier,Hong Kong,20987,93777963,NA,NA,"Berth T36, Casablanca
Port",Morocco,"Duty officer onboard the berthed ship,
heard noises from the boat deck. As he
approached the area, he noticed the life raft
cover was opened and two robbers stealing
the equipment. Seeing the duty officer, the
robbers jumped overboard and escaped.
Incident reported to the Port Authority.
Subsequently, the Harbour Master, Port
Police and PSC Inspector boarded the ship
to investigate.",Africa,actual
17,05.04.2019,2100,steaming,hijacked,Maria Soltin,chemical tanker,Nigeria,805,7203699,05:49.10N,003:49.00E,Lagos Offshore,Nigeria,"Nine pirates armed with automatic weapons and a RPG boarded the tanker undergoing sea trials. Duty officer raised the alarm and crew took shelter. The pirates took hostage the duty officer and instructed all crew members to come out of hiding. They damaged the navigation and
all communication equipment, stole crew
and ship's property, locked all the crew in
one cabin and took the Master as hostage.
On 9 April 2019, a Spanish Navy Warship
tried to establish communication with the
tanker. On receiving no response, the
warship approached the tanker, resulting in
the pirates escaping. The Master told the
naval boarding team that they had been
held hostage for four days. After
investigations, the naval boarding team
disembarked. While continuing on her
voyage, the main engines had to be shut
down due to overheating. The C/E noticed
ingress of water into the engine room,
which was later fixed. Without any
communication equipment that is still
working, the tanker was adrift for 12 days
before being able to hail a fishing boat for
assistance. The Master then established
contact with the Owners who then arranged
for the tanker to be towed to Ghana. The
tanker arrived at Ghana anchorage on 22
April 2019.",Africa,actual
18,15.04.2019,2020,anchored,boarded,San Padre Pio,product tanker,Switzerland,5422,9610339,04:28.1N,007:10.1E,"Bonny River Inner
Anchorage",Nigeria,"Four persons in a speed boat armed with
automatic weapons approached an
anchored tanker. Two persons managed to
board the tanker and opened fire towards
the accommodation. The onboard Nigerian
naval guards returned fire resulting in the
persons retreating into their boat and
escaping. Alarm raised, PA announcement
made, and crew mustered in the citadel.
Bonny Signal Station and Nigerian Navy
notified. One guard was injured during the
shooting and was given first aid by the
crew. Two security boats responded and
approached the tanker. The injured guard
was transferred to a security boat and taken
ashore for medical assistance. Remaining
crew safe.",Africa,actual
19,19.04.2019,1330,anchored,boarded,Apecus,product tanker,Palau,2055,7333810,NA,NA,"Bonny Outer
Anchorage",Nigeria,"An anchored tanker was boarded by
unauthorised persons who kidnapped six
crew and escaped. Remaining crew
reported safe. Nigerian Navy notified. On
27 Jun 2019, the six kidnapped crew
members were released safely.",Africa,actual
20,24.05.2019,215,anchored,boarded,Ocean Gladiator,product tanker,Marshall Islands,25382,9241827,06:20.3N,003:20.5E,Lagos Anchorage,NIgeria,"Three robbers in a small craft approached
and boarded an anchored tanker. Duty AB
on routine rounds noticed the robbers near
the cargo tank and notified the OOW.
Alarm raised, PA announcement made, and
crew mustered. Hearing the alarm and
seeing the crew alertness, the robbers
jumped overboard along with their hose
and escaped in their boat. The incident was
reported to a naval patrol boat. Nothing
reported stolen.",Africa,actual
21,28.04.2019,504,anchored,boarded,Siviu,product tanker,Marshall Islands,11290,9541289,05:50.5S,013:25.5E,"Ango-Ango Inner Anchorage, Port Matadi",Democratic Republic of Congo,"Two robbers armed with long knives
boarded an anchored tanker and broke into
the forecastle store. Duty watch keeper
spotted the robbers and notified the OOW.
Alarm raised, and crew mustered. Upon
hearing the alarm, the robbers escaped with
stolen ship’s stores.",Africa,actual
22,03.05.2019,10,anchored,boarded,Marlin Amber,product tanker,Marshall Islands,29534,9697210,06:16.07N,003:13.11E,Lagos Secure Anchorage Area,Nigeria,"Duty crew onboard an anchored tanker
noticed two robbers near the cargo tank
with a hose. Alarm raised and PA
announcement made. Seeing the alerted
crew, the robbers escaped in their boat with
their hose. A patrol boat was informed
which came and searched the area. Nothing
reported stolen.",Africa,actual
23,05.05.2019,1200,steaming,hijacked,Charis,tug,Nigeria,298,9616254,03:04N,007:59E,Around 41nm SW of Luba,Equatorial Guinea,"Armed pirates hijacked the tug underway
and took its crew hostage. The pirates used
the tug to attack and board another ship.
Incident reported to authorities and a
Spanish and Equatorial Guinean Naval
vessel responded resulting in both ships
being released.",Africa,actual
24,05.05.2019,1216,steaming,boarded,Blue Marlin,heavy load carrier,Malta,51821,9186338,03:03.2N,007:52.3E,Around 48nm SW of Luba,Equatorial Guinea,"Pirates onboard a previously hijacked tug
approached and boarded the ship
underway. Alarm sounded, and the crew
retreated into the citadel. Regional
Authorities notified. A nearby Spanish
Naval vessel and the Equatorial Guinean
Navy responded to the incident resulting in
the pirates escaping and the crews released.
The tug and the ship were escorted by the
Equatorial Guinean Navy to a safe port for
further investigations.",Africa,actual
25,12.05.2019,100,anchored,hijacked,G Dona I,chemical tanker,Togo,992,8619285,NA,NA,Lome Anchorage,Togo,"Armed persons boarded and hijacked an
anchored tanker with her crew. The Togo
Navy received a call from the Owners that
their tanker had been attacked. Togo Navy
immediately responded by dispatching
patrol boats to investigate. The tanker was
intercepted 25nm from the anchorage area
and forced to divert to Lome port. The crew
were reported safe and the armed persons
were captured and handed over to the
relevant Authorities.",Africa,actual
26,14.05.2019,142,anchored,boarded,Hanze Gendt,bulk carrier,Netherlands,24210,9605176,09:23.94N,013:41.26W,Conakry Anchorage,Guinea,"Four robbers armed with automatic rifles
and knives boarded an anchored ship. They
took the crew hostage, ransacked their
cabins and stole ship’s and crew cash and
properties before escaping. Master was
injured during the incident. The incident
was reported to Conakry Port Control and
a patrol boat came for investigation.",Africa,actual
27,26.05.2019,2000,anchored,boarded,D&K Yusef I. Al-Ghanim,product tanker,Marshall Islands,30952,9399624,14.32.56S,040:39.16E,Nacala Inner Anchorage,Mozambique,"Duty crew noticed the forward store broken
into and reported same to the duty officer.
Alarm raised. A search was carried out.
Foot prints were noticed on the forecastle
deck. Ship’s stores reported stolen.",Africa,actual
28,13.07.2019,2250,steaming,hijacked,Name Withheld,general cargo,Turkey,8929,NA,02:58N,004:40E,Around 124nm SW of Brass,Nigeria,"Armed pirates in two speed boats boarded
and hijacked the ship underway. The
Owners were unable to contact the ship and
immediately informed the Nigerian
Authorities. The IMB PRC received the
information from the Nigerian Authorities
and made contact with the Owners. The
IMB PRC notified all the Regional
Authorities and the Ghana Navy Maritime
Ops Centre dispatched a patrol boat to
intercept the ship. On 15.07.2019, the
Ghana Navy Patrol Boat located the ship
and escorted her to a safe port for
investigation. It was reported that 10 crew
members were kidnapped from the ship.
On 19.08.2019, the Owners confirmed that
the 10 kidnapped crew members were
released safely on 09.08.2019.",Africa,actual
29,21.07.2019,240,anchored,boarded,Pomerenia Sky,container,Liberia,26435,9339583,08:28.1N,013:28.1W,Freetown Anchorage,Sierra Leone,"Five robbers armed with knives in a small
wooden boat approached and boarded an
anchored ship using a rope attached with a
hook. The robbers took hostage the duty
crew and stole his personal belongings and
ship’s properties. Alert crew noticed the
robbers and raised the alarm. All doors
locked and crew mustered. Hearing the
alarm and seeing the crew alertness, the
robbers escaped. Port Control informed.
During the incident the duty crew sustained
injuries.",Africa,actual
30,25.07.2019,442,berthed,boarded,Spring Rainbow,bulk carrier,Hong Kong,36467,9666041,06:25.76N,003:20.52E,Berth No.TC09,Nigeria,"Ten robbers boarded the berthed ship
during cargo operations. They assaulted
and took hostage the duty AB on routine
rounds. The robbers stole ship’s stores
from the paint locker. They released the
duty AB and escaped in their boat. Alarm
raised, crew mustered, and a search was
carried out. The AB received minor injuries
during the incident. Port Control and PFSO
informed.",Africa,actual
31,26.07.2019,330,anchored,boarded,Torm Thor,product tanker,Singapore,29484,9712292,06:18.06N,003:23.35E,Lagos Anchorage,Nigeria,"During routine rounds, duty crew, getting a
strong smell of cargo, approached the
forward cargo tanks and noticed one
unauthorized person jumping overboard
with a hose. Alarm raised and crew
mustered. Investigations indicated that the
person was trying to steal cargo. Incident
reported to the Navy patrol boat in the
vicinity. A search of the surrounding
waters conducted. Nothing reported stolen.",Africa,actual
32,26.07.2019,2130,berthed,boarded,New Century,tanker,Marshall Islands,41994,9298272,04:04.6S,039:39.8E,Mbaraki Wharf,Kenya,"Duty AB on routine rounds onboard the
berthed tanker noticed a person climbing
the mooring rope. Alarm sounded, crew
mustered, and port control informed.
Before a patrol boat could respond, the
person had cut two mooring ropes and
escaped.",Africa,actual
33,29.07.2019,310,berthed,boarded,Burgundy,container,Liberia,36087,9372872,NA,NA,Port of Lagos,Nigeria,"Three robbers armed with metal sticks in a
small boat approached and boarded the
berthed ship. They attacked the duty AB on routine rounds, stole his personal
belongings and escaped. Alarm raised and
a search was carried out. The duty AB was
slightly injured during the incident and
further medical check-up was initiated. The
incident was reported to the PFSO and
Harbour Master.",Africa,actual
34,29.07.2019,330,anchored,boarded,Bliss,bulk carrier,Marshall Islands,21059,9370331,06.19.8N,010:51.4W,Monrovia Roads,Liberia,"Duty AB noticed an unauthorized person
on the deck and raised the alarm. Seeing the
alerted crew the person cut the self-igniting
light off the lifebuoy and then jumped
overboard with the lifebuoy and escaped in
a waiting boat. Local Authorities notified.",Africa,actual
35,07.08.2019,1930,berthed,boarded,Celsius Riga,chemical tanker,Marshall Islands,29130,9430284,14:23.3S,040:42.0E,Nacala Outer Anchorage,Mozambique,"Two armed robbers boarded an anchored
tanker via the hawse pipe and broke into the
forecastle store. Alert crew noticed the
robbers and raised the alarm resulting in the
robbers escaping with stolen ship's stores.",Africa,actual
36,14.08.2019,130,berthed,boarded,Prince Job 1,offshore supply ship,Nigeria,1847,9738636,04:40.50N,007:09.31E,Federal Ocean Terminal,Nigeria,"Duty officer onboard the berthed offshore
supply vessel noticed a robber on the
CCTV stealing ship’s properties from the
pump room and immediately informed the
Master. Crew quickly locked the robber
inside the pump room. Seeing the alerted
crew, the accomplice waiting in a canoe
alongside the vessel escaped. Port authority
was notified, and the robber was taken
ashore for questioning and investigation.",Africa,actual
37,15.08.2019,118,anchored,boarded,Name Withheld,bulk carrier,LIberia,22137,NA,03:52.40N,009:31.12E,Doala Anchorage,Cameroon,"Armed persons boarded the ship, stole crew
and ship's property and escaped. The
Cameroon Navy dispatched a patrol boat.
When the crew emerged from hiding, it was
reported that nine crew members were
kidnapped from the ship. On 26.09.2019,
the Owners confirmed that the nine
kidnapped crew members were released
safely on 25.09.2019.",Africa,actual
38,15.08.2019,230,anchored,boarded,Name Withheld,general cargo,Antigua and Barbuda,7406,NA,03:52N,009:31E,Doala Anchorage,Cameroon,"Armed persons boarded the ship. The
Cameroon Navy dispatched a patrol boat.
When the crew emerged from hiding, it was
reported that eight crew members were
kidnapped from the ship. On 26.09.2019,
the Owners confirmed that the eight
kidnapped crew members were released
safely on 20.09.2019.",Africa,actual
39,17.08.2019,325,steaming,boarded,Name Withheld,LPG tanker,Liberia,18311,NA,03:34.84N,006:40.75E,50nm SE of Brass,Nigeria,"Pirates boarded a tanker underway. Alarm
sounded and crew mustered in the citadel.
Headcount indicated that one crew was
missing in the citadel. Owners and
Nigerian navy notified, and a naval patrol
boat was dispatched. After the Nigerian
naval team boarded the vessel and
confirmed that no pirates found on board,
the crew emerged from the citadel. On 12
Dec 2019, the Owners confirmed that 1
kidnapped crew member was released
safely on 05 Oct 2019.",Africa,actual
40,12.09.2019,0001-0700,berthed,boarded,Orient Tide,bulk carrier,Marshall Islands,23426,9467550,04:03.1N,009:41.3E,Port of Douala,Cameroon,"Unnoticed, robbers boarded the berthed
ship during cargo operations. During
routine rounds in the morning, it was noticed that the store’s padlock was broken
and the door’s hinge damaged and bent.
After checking, several ship’s properties
and stores were reported stolen. Port
Authorities informed.",Africa,actual
41,13.09.2019,2200,steaming,boarded,Name WIthheld,fishing vessel,Cameroon,NA,NA,04:10.26N,008:55.38E,Around 4.5nm SW of Idenao,Cameroon,"Eight persons in a speed boat, boarded the
fishing vessel conducting fishing
operations. The perpetrators kidnapped two
crew members and escaped. Cameroon
navy notified and investigations are
ongoing.",Africa,actual
42,16.09.2019,250,anchored,boarded,Name WIthheld,product tanker,Marshall Islands,30641,NA,09:25.0N,013:44.1W,Around 5nm SSW of Conakry,Guinea,"Four robbers armed with a gun and knives
boarded an anchored tanker. They took
hostage the duty AB, tied his hands and
forced him to lead them to the bridge. Once
inside the bridge, the robbers took hostage
the duty officer and forced him to lead them
to the Captain, Chief Engineer, third officer
and bosun’s cabins. After looting the
cabins, the robbers locked the crew in a
cabin and escaped. Crew personal
belongings, cash and ship’s properties
stolen.",Africa,actual
43,23.09.2019,315,anchored,boarded,Grace Victoria,product tanker,Singapore,40953,9321201,06:17.7N,003:14.1E,Lagos Secure Anchorage Area,Nigeria,"Duty watchmen onboard the tanker noticed
two robbers near the forward cargo tanks
and raised the alarm. One robber shouted at
the watchkeeper and made a threatening
gesture. Alarm raised and Nigerian navy
patrol boat responded and searched the
waters around the tanker. Investigations
showed a section of the razor wire was
broken and the vapour locks of the forward
cargo tanks were opened.",Africa,actual
44,05.02.2019,Early Hours,steaming,boarded,MFB Dahlia,Fishing Vessel,Nigeria,NA,NA,04:21.07N,006:52.20E,NA,Nigeria,"A fishing vessel, having machinery problems drifted to the mouth of Sambreiro river where it was attacked by several persons. The persons vandalized the vessel and escaped. The vessel owners notified the Nigerian Navy, who were able to locate the vessel.",Africa,actual
45,05.10.2019,200,anchored,boarded,UACC Mirdif,Product Tanker,Marshall Islands,26916,9402794,06:17.2N,003:13.8E,Lagos Secure Anchorage Area,Nigeria,"Security patrol onboard an anchored tanker noticed three robbers on the forecastle and immediately informed the OOW, who raised the alarm. Upon hearing the alarm, the robbers escaped without stealing anything. Incident reported to Nigerian Navy and a patrol boat arrived for investigation.",Africa,actual
46,06.10.2019,2230,berthed,boarded,Rose M,product tanker,Panama,28059,9311000,NA,NA,"Apapa BOP Terminal, Lagos",Nigeria,"During cargo operations, around seven to eight armed persons in two wooden boats came alongside and boarded the berthed tanker. Alert crew noticed the persons, raised the alarm and stopped the discharging operations. Before escaping, the persons fired towards the crew. No injuries reported. Cargo from the terminal’s manifolds was reported stolen.",Africa,actual
47,08.10.2019,2240,anchored,boarded,Fugro Helmert,research vessel,Gibraltar,496,9662978,04:45.4S,011:49.7E,Pointe Noire Anchorage,The Congo,"Master onboard the anchored research ship
heard a sound and noticed one unknown
person onboard. Master shouted and the person escaped. Emergency alarm raised
and crew mustered. A boat was seen
departing the ship with stolen ship's store. ",Africa,actual
48,20.10.2019,320,anchored,boarded,Maersk Roubaix,container,Hong Kong,9957,9332688,04:45.19S,011:46.77E,Pointe Noire South Anchorage,The Congo,"Duty officer on routine rounds onboard an
anchored ship noticed a mooring rope in
the water and notified the bridge. Alarm
raised and crew mustered. Investigations
showed that the forward storeroom door
was opened, and ship’s stores were stolen.
A boat with two persons was seen moving
away from the ship. Incident reported to
Port Control.
",Africa,actual
49,02.11.2019,320,anchored,boarded,Bonita,bulk carrier,Norway,32315,9494060,06:14.9N,002:32.9E,Around 8.9nm SE of Cotonou,Benin,"Armed persons boarded an anchored ship. Incident reported to the Authorities who dispatched a patrol boat to the ship’s location. Nine crew were reported missing from the ship. The remaining crew with the assistance of the patrol boat sailed the ship to a safe port. On 12 Dec 2019, the Owners confirmed that the nine kidnapped crew were released on 06 Dec 2019",Africa,actual
50,04.11.2019,240,anchored,boarded,Elka Aristotle,product tanker,Greece,55096,9249099,05:58.22N,001:15.70E,Around 9nm SSE of Lome,Togo,"Three persons armed with guns and knives boarded an anchored tanker and shot one armed guard in his leg. They entered into the accommodation and tried to force their way into the captain’s cabin but were unsuccessful. Alarm raised and SSAS activated. Once the armed persons left the tanker a headcount was taken, and four crew members were reported kidnapped. Togo Navy boarded the vessel for investigation. On 13 Dec 2019, the Owners confirmed that three crew members were released. One crew member died due to illness. ",Africa,actual
51,08.11.2019,205,berthed,boarded,Atlantic Laurel,bulk carrier,Panama,20243,9494747,30:25.55N,009:38.88W,"Silos Terminal, Agadir Por",Morocco,"Duty officer noticed four unauthorized persons onboard the ship. Alarm raised and crew mustered. Seeing the alerted crew, the persons escaped. On searching the ship nothing reported stolen.",Africa,actual
52,11.11.2019,700,steaming,boarded,Emmanuel Marine,passenger boat,Nigeria,NA,NA,NA,NA,"Enroute from Bonny
to Onne Port",Nigeria,Ten armed persons attacked the passenger boat and kidnapped four Immigration Officers. The Nigerian Navy rescued the kidnapped Immigration Officers on 13 November. No casualties reported.,Africa,actual
53,19.11.2019,2155,anchored,boarded,Baltic Mantis,bulk carrier,Marshall Islands,36353,9729489,14:22.51S,040:42.67E,Nacala Outer Anchorage,Mozambique,"Duty crew onboard an anchored ship noticed an unauthorised person on the forecastle deck and raised the alarm. Crew mustered and a search carried out. Seeing the alerted crew, the person escaped. Nothing reported stolen. All crew safe. Incident reported to Port Control.",Africa,actual
54,03.12.2019,1810,steaming,boarded,Nave Constellation,tanker,Hong Kong,157039,9515929,03:06N,007:07E,Around 76nm South of Bonny,Nigeria,"Armed pirates attack and boarded an oil tanker underway. Nineteen crew were reported kidnapped. The vessel owners notified the Nigerian Navy and MRCC for assistance. Remaining crew sailed the tanker to a safe area. On 22 Dec 2019, the Owners confirmed that the nineteen kidnapped crew were released on 21 Dec
2019. ",Africa,actual
55,15.12.2019,800,steaming,boarded,Name Withheld,product tanker,Marshall Islands,11118,NA,04:23.59N,002:03.15E,Around 118nm SSW of Cotonou,Benin,"Around six heavily armed pirates boarded the tanker underway. They took hostage all crew members and destroyed ship’s equipment resulting in the tanker going into a blackout condition. The remaining crew sent a distress and requested to be towed to a safe area. Upon receiving the information, the IMB PRC immediately notified and liaised with the Regional Authorities to provide assistance. A Togo Navy ship was dispatched and arrangements made to tow the tanker. Twenty crew were reported missing.",Africa,actual
56,17.12.2019,230,anchored,boarded,Maersk Trader,offshore tug,Denmark,4678,9388596,04:45.9S,011:46.6E,Pointe Noire Anchorage,The Congo,Two robbers in a canoe came alongside an anchored offshore tug. They boarded the vessel and stole ship’s properties. Incident reported to Port Control.,Africa,actual
57,21.12.2019,25,anchored,boarded,River Shiner,product tanker,Marshall Islands,42661,9289752,06:15.4N,003:13.0E,Lagos Secure Anchorage Area,Nigeria,"Duty crew on board an anchored tanker
noticed two unauthorized persons onboard
and raised the alarm. Crew mustered. Naval
patrol boat notified via VHF, which
responded and searched the waters around
the tanker. A search was carried out.
Nothing reported stolen.",Africa,actual
58,30.12.2019,2230,anchored,boarded,Name Withheld,product tanker,Greece,30201,NA,03:58.5N,009:05.4E,Limboh Anchorage,Cameroon,"Around six persons armed with guns boarded an anchored tanker. A distress message was sent by the tanker. The persons stole ship’s cash and properties and kidnapped eight crew members before escaping. One crew was reported injured. Upon receiving the distress message, the IMB PRC immediately notified and liaised with the Authorities. A security boat was sent by the Authorities to provide assistance. Investigation is on-going.",Africa,actual
